id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,amax,gs,wue,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass,rgr,agr
96,pq,ambientrain_water,nonlegume,nonfixer,12,51.71026157,24.48021462,23.80952381,0.355,0.771,0.365,1.491,0.603095238,0.517102616,0.00161297,0.25304878,-29.64901316,7.413,0.263,2.055,194.33373,22.21090044,1.110696905,21.58458779,7.662528665,0.001385683,0.017647059
97,pq,ambientrain_nutrients,nonlegume,nonfixer,10.5,48.51304203,24.00731018,27.47964778,1.654,2.92,1.445,6.019,1.719796478,0.48513042,0.00501207,0.296928328,-29.84014171,5.38,0.103,2.783,192.03333,23.61396975,1.020912019,19.60491381,32.42652744,0.008154673,0.123529412
98,pq,ambientrain_nutrients,nonlegume,nonfixer,7.5,42.42108914,18.55705862,39.02185224,1.125,1.223,0.535,2.883,0.925218522,0.424210891,0.00559258,0.271714922,-28.6209808,6.02,0.075,4.068,229.2041,19.23347669,1.030498377,23.61944513,26.57187577,0.009275969,0.105882353
99,pq,ambientrain_nutrients,nonlegume,nonfixer,7.5,49.07161804,19.9551112,30.97327076,1.518,2.405,0.978,4.901,1.287732708,0.49071618,0.0055902,0.296228151,-28.11755881,6.575,0.14,2.798,173.6087,19.04398624,1.38160776,23.98591212,36.4106146,0.007755831,0.082352941
100,pq,ambientrain_nutrients,nonlegume,nonfixer,9,49.97396285,23.34664121,26.67939594,1.537,2.879,1.345,5.761,1.611793959,0.499739629,0.0031838,0.300775194,-28.51291803,6.19,0.113,3.02,164.1134,22.37813087,1.195439679,19.61876727,30.15404529,0.008154673,0.105882353
105,gs,ambientrain,Legume,fixer,12.5,63.65425261,16.57313607,19.77261133,2.713,8.734,2.274,13.721,2.471726113,0.636542526,0.00831459,0.288708298,-30.02107136,11.003,0.21,3.006,123.17911,12.64291532,3.144274646,38.7308956,105.0769198,0.004926004,0.076470588
106,gs,ambientrain,Legume,fixer,13,58.38465182,20.32212222,21.29322596,1.798,4.93,1.716,8.444,1.92893226,0.583846518,0.0040991,0.240646259,-28.77400064,12.113,0.24,3.245,144.84452,18.25598877,1.765613921,25.57395062,45.98196321,0.003156047,0.047058824
107,gs,ambientrain,Legume,fixer,20,51.399514,26.93726937,21.66321663,2.407,5.711,2.993,11.111,3.209632166,0.51399514,0.00703572,0.271523179,-28.13491318,6.303,0.15,2.292,143.00244,17.99954654,1.841924192,26.3399652,63.40029624,0.003086638,0.070588235
108,gs,ambientrain,Legume,fixer,19,66.68137688,18.92321271,14.39541041,1.631,7.555,2.144,11.33,2.287954104,0.666813769,0.0050489,0.264822134,-27.6046769,12.837,0.3,2.893,150.71343,20.28979129,1.515144059,22.83525623,37.24430291,6.03E-04,0.011764706
109,gs,ambientrain_water_nutrients,Legume,fixer,17.5,56.81923255,21.28216983,21.89859763,4.263,11.061,4.143,19.467,4.361985976,0.568192325,0.01134191,0.268707483,-27.3125962,15.943,0.483,2.597,159.52053,17.20047528,1.683413015,26.85389439,114.4781518,0.006535598,0.152941176
110,gs,ambientrain_water_nutrients,Legume,fixer,17.5,44.30571762,26.86697783,28.82730455,4.941,7.594,4.605,17.14,4.893273046,0.443057176,0.00995339,0.259945925,-28.46728759,13.343,0.44,2.264,147.89584,15.726963,1.973993433,29.1945416,144.25023,0.007100412,0.170588235
111,gs,ambientrain_water_nutrients,Legume,fixer,16.5,49.3042876,24.78121262,25.91449978,4.116,7.831,3.936,15.883,4.195144998,0.493042876,0.00771056,0.25572306,-27.11504451,11.377,0.41,1.983,168.35284,15.6447153,1.759562309,29.62273091,121.9271604,0.006221696,0.135294118
113,gs,ambientrain_water,Legume,fixer,15.5,58.0119624,24.96154942,17.02648818,2.989,10.184,4.382,17.555,4.552264882,0.580119624,0.0061778,0.257159556,-28.52319972,11.267,0.27,2.877,140.40455,16.63587586,1.968404647,27.63729598,82.60787768,0.00716546,0.152941176
114,gs,ambientrain_water,Legume,fixer,16,61.70522334,18.23075804,20.06401862,2.758,8.482,2.506,13.746,2.706640186,0.617052233,0.00594895,0.269469331,-27.72655872,12.48,0.283,2.907,152.14706,18.81194617,1.611228325,24.51436507,67.61061886,0.004770178,0.094117647
115,gs,ambientrain_water,Legume,fixer,15.5,57.48549323,20.90909091,21.60541586,3.351,8.916,3.243,15.51,3.459054159,0.574854932,0.00818567,0.328545781,-27.41167842,16.447,0.35,3.389,111.82609,20.48746527,2.006908948,22.44247864,75.20474592,0.004384415,0.082352941
117,gs,ambientrain_nutrients,Legume,fixer,12.5,53.56613286,21.01126928,25.42259786,3.429,7.225,2.834,13.488,3.088225979,0.535661329,0.0100953,0.328424153,-27.84814935,8.46,0.07,5.958,150.90135,15.54461245,1.972960588,29.77224069,102.0890133,0.008154673,0.147058824
118,gs,ambientrain_nutrients,Legume,fixer,17.5,75.67227834,11.4657688,12.86195286,2.865,16.856,2.554,22.275,2.682619529,0.756722783,0.00996229,0.268405553,-27.52771884,8.33,0.1,4.462,156.14875,13.50401176,2.218852171,34.64709843,99.263937,0.005737685,0.129411765
119,gs,ambientrain_nutrients,Legume,fixer,13.5,60.1434366,18.98183528,20.87472812,3.551,10.231,3.229,17.011,3.437747281,0.601434366,0.00628784,0.29205298,-26.65897719,10.9,0.09,6.45,142.58141,13.67864137,2.4003433,34.22443223,121.5309588,0.006268289,0.111764706
126,dr,ambientrain,Legume,fixer,11.5,33.1092437,17.91116447,48.97959184,4.08,2.758,1.492,8.33,1.981795918,0.331092437,0.00871681,0.332619175,-28.7981581,8.407,0.283,1.867,140.36731,19.50449257,1.754768706,24.63121643,100.495363,0.009135633,0.158823529
127,dr,ambientrain,Legume,fixer,11,41.70412351,23.41215556,34.88372093,3.57,4.268,2.396,10.234,2.744837209,0.417041235,0.01292157,0.353328173,-28.50796841,12.477,0.31,2.598,141.5287,19.4880257,1.73778596,24.59465819,87.80292974,0.014584599,0.317647059
128,dr,ambientrain,Legume,fixer,11,32.81329274,19.38102486,47.80568239,3.769,2.587,1.528,7.884,2.006056824,0.328132927,0.00989003,0.323561947,-29.94887863,9.6,0.27,2.143,169.06034,22.69594604,1.212799152,20.50362392,77.27815855,0.012562831,0.247058824
