id,family,Nfixer,spcode,treatment,LA,SLA,LDMC,LT,Amax,gs,WUE,d13c,CN,Narea,Nmass,TD,total_biom,above_biom,below_biom,initHeight,rgr,agr
126,legume,fixer,dr,ambientrain,0.00871681,140.36731,0.332619175,0.26,8.407,0.283,1.867,-28.7981581,19.5044925680108,1.75476870587176,24.63121643,0.274006379843985,8.33,5.572,2.758,11.5,0.009135633,0.158823529
127,legume,fixer,dr,ambientrain,0.01292157,141.5287,0.353328173,0.23,12.477,0.31,2.598,-28.50796841,19.4880257044955,1.73778596002421,24.59465819,0.307204551935863,10.234,5.966,4.268,11,0.014584599,0.317647059
128,legume,fixer,dr,ambientrain,0.00989003,169.06034,0.323561947,0.21,9.6,0.27,2.143,-29.94887863,22.695946039377,1.21279915159004,20.50362392,0.281668945058596,7.884,5.297,2.587,11,0.012562831,0.247058824
129,legume,fixer,dr,ambientrain_water_nutrients,0.01060058,143.44493,0.309853249,0.26,10.16,0.147,3.777,-29.57941331,18.7972400360432,1.71927826244979,24.66217424,0.268127555721478,16.852,9.189,7.663,11,0.014890193,0.329411765
130,legume,fixer,dr,ambientrain_water_nutrients,0.01093136,141.04981,0.335788562,0.22,9.923,0.137,4.084,-29.81789205,24.3453633659112,1.3725326029881,19.3595458,0.322258820870056,15.629,9.298,6.331,8.5,0.015778517,0.282352941
131,legume,fixer,dr,ambientrain_water_nutrients,0.01147232,139.73593,0.350555081,0.22,14.297,0.317,3.412,-29.73739501,25.0181891258269,1.32958629122357,18.57909793,0.325288889225165,13.91,8.225,5.685,10,0.01616136,0.347058824
132,legume,fixer,dr,ambientrain_water_nutrients,0.01128904,135.52269,0.385648148,0.21,9.863,0.17,3.433,-28.43628865,20.4182650595884,1.68784728269631,22.87416025,0.35137324693782,12.945,8.389,4.556,12.5,0.014397358,0.352941176
133,legume,fixer,dr,ambientrain_water,0.00803905,133.53904,0.32860262,0.24,12.307,0.17,3.729,-30.04217286,21.8837377790525,1.61573152152804,21.57632307,0.312018617676648,9.304,4.818,4.486,10,0.011241311,0.188235294
134,legume,fixer,dr,ambientrain_water,0.00799511,139.28763,0.355417957,0.21,12.977,0.187,3.676,-28.83273523,23.1691624474093,1.46985975227608,20.47332823,0.341875639775389,9.749,4.784,4.965,7,0.014495808,0.2
135,legume,fixer,dr,ambientrain_water,0.0100127,125.94591,0.356023287,0.24,12.193,0.2,3.284,-29.51119234,23.0485905022621,1.60293524001518,20.18831406,0.330829851216817,12.2,6.305,5.895,9,0.012704943,0.205882353
136,legume,fixer,dr,ambientrain_water,0.00898884,146.87647,0.337562052,0.23,17.217,0.363,3.136,-30.3013138,24.6142746359813,1.29059134755096,18.95575021,0.296019238953423,9.608,5.148,4.46,9.5,0.012288765,0.205882353
137,legume,fixer,dr,ambientrain_nutrients,0.00686285,128.27757,0.401049475,0.2,8.257,0.11,4.22,-29.85227553,19.0847440384581,1.90510171047014,24.43818182,0.389779756507704,11.613,5.68,5.933,10.5,0.013292527,0.258823529
138,legume,fixer,dr,ambientrain_nutrients,0.00821543,152.13759,0.325301205,0.23,8.08,0.08,5.572,-28.6618947,17.6266084103392,1.78466858041515,27.15151814,0.28578250036408,13.157,5.974,7.183,8.5,0.014233387,0.235294118
140,legume,fixer,dr,ambientrain_nutrients,0.00917681,136.55967,0.326848249,0.24,7.795,0.105,4.06,-28.99916768,20.2970660502623,1.70030577949418,23.21932006,0.305116925565701,14.026,7.301,6.725,9.5,0.016614939,0.347058824
145,nonlegume,nonFixer,to,ambientrain,0.00236324,216.81101,0.372013652,0.23,5.447,0.197,1.46,-30.30895539,27.1169294352693,0.771298781537211,16.72260672,0.200535299704407,2.987,0.79,2.197,5,0.005529454,0.035294118
146,nonlegume,nonFixer,to,ambientrain,0.0020843,200.41346,0.383763838,0.21,5.42,0.19,1.51,-29.24035615,26.9668174910272,0.848359293307106,17.00226226,0.237604039264866,3.257,0.77,2.487,6,0.001813537,0.011764706
147,nonlegume,nonFixer,to,ambientrain,0.00158521,174.1989,0.40625,0.21,6.71,0.207,1.757,-29.87585956,29.0082764755485,0.891375463452792,15.52766262,0.273360208468869,2.153,0.699,1.454,5,0.003958497,0.023529412
