id,family,Nfixer,spcode,treatment,la_m2,sla_cm2_g,ldmc_g_g,leafthick_mm,amax_umol_m2_s1,gs_mol_m2_s2,wue_umol_mmol,d13c_perMil,CN,Narea_g_m2,Nmass_g_m2,tissueDensity_g_cm3,total_biomass_g,above_biom_g,below_biom_g,initial_height_cm,rgr,agr
91,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.00812469,174.72452,0.330490405,0.22,7.38,0.31,1.505,-28.71757695,23.646315548552874,1.1159880703633,19.49904756,0.26014978009122847,8.137,4.106,4.031,12,0.00996821,0.188235294
92,nonlegume,nonFixer,pq,ambientrain_water_nutrients,0.00548788,147.12815,0.353219697,0.24,7.457,0.413,1.317,-29.28898655,27.588184711820368,1.1486676665615867,16.90013489,0.2831998272707613,9.524,4.421,5.103,13,0.005068034,0.082352941
94,nonlegume,nonFixer,pq,ambientrain_water,0.00172765,171.05446,0.282913165,0.25,7.383,0.313,1.665,-29.99999819,25.229117082935847,1.085305661383961,18.56463689,0.23384365423736975,4.397,1.387,3.01,8,0.003746514,0.035294118
95,nonlegume,nonFixer,pq,ambientrain_water,0.00193497,177.52018,0.324404762,0.17,6.147,0.277,1.494,-29.22949759,30.838503381712876,0.8134458080435355,14.440304909999998,0.331362493051577,2.978,1.763,1.215,9.5,0.004134093,0.047058824
96,nonlegume,nonFixer,pq,ambientrain_water,0.00161297,194.33373,0.25304878,0.28,7.413,0.263,2.055,-29.64901316,22.21090043804816,1.1106969048215405,21.58458779,0.18377811054357732,1.491,0.72,0.771,12,0.001385683,0.017647059
97,nonlegume,nonFixer,pq,ambientrain_nutrients,0.00501207,192.03333,0.296928328,0.23,5.38,0.103,2.783,-29.84014171,23.613969746903976,1.020912019267488,19.604913809999996,0.22640997200624088,6.019,3.099,2.92,10.5,0.008154673,0.123529412
98,nonlegume,nonFixer,pq,ambientrain_nutrients,0.00559258,229.2041,0.271714922,0.18,6.02,0.075,4.068,-28.6209808,19.233476688366217,1.0304983767277356,23.61944513,0.24238464999341444,2.883,1.66,1.223,7.5,0.009275969,0.105882353
99,nonlegume,nonFixer,pq,ambientrain_nutrients,0.0055902,173.6087,0.296228151,0.21,6.575,0.14,2.798,-28.11755881,19.04398624137042,1.3816077604808414,23.98591212,0.27428952361861836,4.901,2.496,2.405,7.5,0.007755831,0.082352941
100,nonlegume,nonFixer,pq,ambientrain_nutrients,0.0031838,164.1134,0.300775194,0.22,6.19,0.113,3.02,-28.51291803,22.3781308661194,1.1954396791192914,19.61876727,0.2769703476653671,5.761,2.882,2.879,9,0.008154673,0.105882353
105,legume,fixer,gs,ambientrain,0.00831459,123.17911,0.288708298,0.29,11.003,0.21,3.006,-30.02107136,12.642915321586315,3.144274646134085,38.730895600000004,0.27993998836888545,13.721,4.987,8.734,12.5,0.004926004,0.076470588
106,legume,fixer,gs,ambientrain,0.0040991,144.84452,0.240646259,0.28,12.113,0.24,3.245,-28.77400064,18.25598876518047,1.7656139214608082,25.573950619999994,0.2465698095743333,8.444,3.514,4.93,13,0.003156047,0.047058824
107,legume,fixer,gs,ambientrain,0.00703572,143.00244,0.271523179,0.28,6.303,0.15,2.292,-28.13491318,17.999546540782823,1.8419241923214684,26.3399652,0.24974598835016876,11.111,5.4,5.711,20,0.003086638,0.070588235
108,legume,fixer,gs,ambientrain,0.0050489,150.71343,0.264822134,0.28,12.837,0.3,2.893,-27.6046769,20.289791291735376,1.515144058517697,22.83525623,0.2369681700846813,11.33,3.775,7.555,19,6.03451e-4,0.011764706
109,legume,fixer,gs,ambientrain_water_nutrients,0.01134191,159.52053,0.268707483,0.26,15.943,0.483,2.597,-27.3125962,17.200475275273472,1.6834130152055518,26.853894390000004,0.2411071381316151,19.467,8.406,11.061,17.5,0.006535598,0.152941176
110,legume,fixer,gs,ambientrain_water_nutrients,0.00995339,147.89584,0.259945925,0.28,13.343,0.44,2.264,-28.46728759,15.726962995027812,1.9739934330715465,29.194541599999997,0.24148269291608007,17.14,9.546,7.594,17.5,0.007100412,0.170588235
111,legume,fixer,gs,ambientrain_water_nutrients,0.00771056,168.35284,0.25572306,0.29,11.377,0.41,1.983,-27.11504451,15.644715300153262,1.7595623089347598,29.62273091,0.20482433572661835,15.883,8.052,7.831,16.5,0.006221696,0.135294118
113,legume,fixer,gs,ambientrain_water,0.0061778,140.40455,0.257159556,0.3,11.267,0.27,2.877,-28.52319972,16.635875855319476,1.968404647479685,27.637295979999998,0.23740921026657139,17.555,7.371,10.184,15.5,0.00716546,0.152941176
114,legume,fixer,gs,ambientrain_water,0.00594895,152.14706,0.269469331,0.27,12.48,0.283,2.907,-27.72655872,18.811946174545568,1.6112283247245314,24.514365069999997,0.24342919959831646,13.746,5.264,8.482,16,0.004770178,0.094117647
115,legume,fixer,gs,ambientrain_water,0.00818567,111.82609,0.328545781,0.29,16.447,0.35,3.389,-27.41167842,20.487465269567032,2.0069089475241486,22.44247864,0.3083605858050627,15.51,6.594,8.916,15.5,0.004384415,0.082352941
117,legume,fixer,gs,ambientrain_nutrients,0.0100953,150.90135,0.328424153,0.27,8.46,0.07,5.958,-27.84814935,15.5446124501958,1.9729605877596508,29.77224069,0.2454387388650733,13.488,6.263,7.225,12.5,0.008154673,0.147058824
118,legume,fixer,gs,ambientrain_nutrients,0.00996229,156.14875,0.268405553,0.26,8.33,0.1,4.462,-27.52771884,13.504011755711112,2.218852171372245,34.64709843,0.24631345727415976,22.275,5.419,16.856,17.5,0.005737685,0.129411765
119,legume,fixer,gs,ambientrain_nutrients,0.00628784,142.58141,0.29205298,0.27,10.9,0.09,6.45,-26.65897719,13.678641370992292,2.4003432996752463,34.224432230000005,0.2597606310460601,17.011,6.78,10.231,13.5,0.006268289,0.111764706
126,legume,fixer,dr,ambientrain,0.00871681,140.36731,0.332619175,0.26,8.407,0.283,1.867,-28.7981581,19.50449256801078,1.7547687058717583,24.631216430000002,0.27400637984398546,8.33,5.572,2.758,11.5,0.009135633,0.158823529
