id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass
50,sg,ambientrain_water_nutrients,nonlegume,nonfixer,8,35.6780631441191,13.1032226402748,51.2187142156061,3.131,2.181,0.801,6.113,1.31318714215606,0.356780631441191,0.00522997,0.402998236,-29.09833919,114.44136,37.0610769988008,1.07816562810877,12.33867372,38.63238741732
51,sg,ambientrain_water_nutrients,nonlegume,nonfixer,10,37.1657754010695,15.2554961378491,47.5787284610814,3.203,2.502,1.027,6.732,1.50278728461081,0.371657754010695,0.00343193,0.399224806,-29.63963116,111.0657,39.6386122058357,1.03000258075485,11.43979533,36.64166444199
52,sg,ambientrain_water_nutrients,nonlegume,nonfixer,11.5,31.2683823529412,15.8272058823529,52.9044117647059,2.878,1.701,0.861,5.44,1.39004411764706,0.312683823529412,0.00387228,0.421497585,-29.67303685,110.95358,39.0358441222151,1.03665904495543,11.5021034,33.1030535852
53,sg,ambientrain_water,nonlegume,nonfixer,10,38.5460053010223,14.9375236652783,46.5164710336994,2.457,2.036,0.789,5.282,1.25416471033699,0.385460053010223,0.00522984,0.394538606,-29.39757834,124.81718,52.9466928682795,0.698458072568186,8.71795696,21.42002025072
54,sg,ambientrain_water,nonlegume,nonfixer,7.5,36.4873351475822,13.1881934268369,50.3244714255809,2.404,1.743,0.63,4.777,1.13324471425581,0.364873351475822,0.00354047,0.436931079,-30.05049368,105.37113,53.7118657061071,0.797805373636834,8.40656545,20.2093833418
55,sg,ambientrain_water,nonlegume,nonfixer,11,32.4453551912568,17.3724954462659,50.1821493624772,2.204,1.425,0.763,4.392,1.26482149362477,0.324453551912568,0.00338721,0.46641791,-29.11799004,90.3256,48.0128563436189,1.04524325883249,9.44122245,20.8084542798
56,sg,ambientrain_water,nonlegume,nonfixer,10,42.2111553784861,13.9243027888446,43.8645418326693,2.202,2.119,0.699,5.02,1.13764541832669,0.422111553784861,0.00394133,0.416365824,-29.55671827,113.91127,48.0936859657749,0.827687023527591,9.42828814,20.76109048428
57,sg,ambientrain_nutrients,nonlegume,nonfixer,11,37.5747776879547,13.5974130962005,48.8278092158448,3.02,2.324,0.841,6.185,1.32927809215845,0.375747776879547,0.0037682,0.417783191,-29.81996337,109.86006,40.0843076994052,1.04533383895494,11.48404365,34.681811823
58,sg,ambientrain_nutrients,nonlegume,nonfixer,6.5,35.6690920594748,9.80702309395761,54.5238848465675,3.447,2.255,0.62,6.322,1.16523884846568,0.356690920594748,0.00483673,0.427374302,-29.66386174,105.37538,43.6482746101252,1.00242110095664,10.56305057,36.41083531479
59,sg,ambientrain_nutrients,nonlegume,nonfixer,8.5,41.0215903106898,10.7424960505529,48.2359136387572,3.664,3.116,0.816,7.596,1.29835913638757,0.410215903106898,0.00350496,0.43258427,-29.27191968,91.03792,40.3732167387897,1.23746834537341,11.26565468,41.27735874752
60,sg,ambientrain_nutrients,nonlegume,nonfixer,11,37.2810300943255,13.669711034586,49.0492588710885,3.276,2.49,0.913,6.679,1.40349258871088,0.372810300943255,0.00291498,0.433908046,-29.45471789,96.52252,45.1450284445115,1.06198595682303,10.25055571,33.58082050596
